"","title","abstract","year","journal","Annotation"
"1","A Theory of Falling Growth and Rising Rents","Growth has fallen in the U.S. amid a rise in firm concentration. Market share has shifted to low labour share firms, while within-firm labour shares have actually risen. We propose a theory linking these trends in which the driving force is falling overhead costs of spanning multiple products or a rising efficiency advantage of large firms. In response, the most efficient firms (with higher markups) spread into new product lines, thereby increasing concentration and generating a temporary burst of growth. Eventually, due to greater competition from efficient firms, within-firm markups and incentives to innovate fall. Thus our simple model can generate qualitative patterns in line with the observed trends.",2023,"RES","No Woman"
"2","The Lost Capital Asset Pricing Model","We provide a novel explanation for the empirical failure of the capital asset pricing model (CAPM) despite its widespread practical use. In a rational-expectations economy in which information is dispersed, variation in expected returns over time and across investors creates an informational gap between investors and the empiricist. The CAPM holds for investors, but the securities market line appears flat to the empiricist. Variation in expected returns across investors accounts for the larger part of this distortion, which is empirically substantial; it offers a new interpretation of why “betting against beta” (BAB) works: BAB really bets on true beta. The empiricist retrieves a stronger CAPM on days when public information reduces disagreement among investors.",2023,"RES","No Woman"
"3","Inference for Linear Conditional Moment Inequalities","We show that moment inequalities in a wide variety of economic applications have a particular linear conditional structure. We use this structure to construct uniformly valid confidence sets that remain computationally tractable even in settings with nuisance parameters. We first introduce least-favorable critical values which deliver non-conservative tests if all moments are binding. Next, we introduce a novel conditional inference approach which ensures a strong form of insensitivity to slack moments. Our recommended approach is a hybrid technique which combines desirable aspects of the least favorable and conditional methods. The hybrid approach performs well in simulations calibrated to Wollmann (2018, American Economic Review, 108, 1364–1406), with favorable power and computational time comparisons relative to existing alternatives.",2023,"RES","No Woman"
"4","Stalled Racial Progress and Japanese Trade in the 1970s and 1980s","We assess the impact of a rapid rise in Japanese import competition on the growth in racial earnings and employment gaps during the 1970s and 80s. Using commuting zone level variation in exposure, we find Japanese competition led to a decrease in manufacturing employment and labour force participation for blacks. This was driven by a shift in demand for skill in manufacturing. The difference in effects between the 10th percentile most and least exposed commuting zone was equivalent to 36–46% of the relative rise in black non-labour force participation, and 78–96% of the relative decline in black median male earnings.",2023,"RES","Woman"
"5","Bond Premium Cyclicality and Liquidity Traps","Safe asset shortages can expose an economy to liquidity traps. The nature of these traps is determined by the cyclicality of the bond premium. A counter-cyclical bond premium opens the possibility of expectations-driven liquidity traps in which small issuances of government debt crowd out private debt and reduce output. In contrast, when the bond premium is pro-cyclical and the economy is in a liquidity trap, government debt is expansionary. In the data, we find evidence of a counter-cyclical bond premium. Large interventions can prevent the emergence of self-fulfilling traps, but they require sufficient fiscal capacity. In a quantitative model calibrated to the Great Recession, a promise to increase the government debt-to-GDP ratio by 20 percentage points precludes the possibility of self-fulfilling traps.",2023,"RES","No Woman"
"6","The Effects of Partial Employment Protection Reforms: Evidence from Italy","We combine matched employer–employee data with firms’ financial records to study a 2001 Italian reform that lifted constraints on the employment of temporary contract workers while maintaining rigid employment protection regulations for employees hired under permanent contracts. Exploiting the staggered implementation of the reform across different collective bargaining agreements, we find that this policy change led to an increase in the share of temporary contracts but failed to raise employment. The reform had both winners and losers. Firms are the main winners as the reform was successful in decreasing labor costs, leading to higher profits. By contrast, young workers are the main losers since their earnings were substantially depressed following the policy change. Rent-sharing estimates show that temporary workers receive only two-thirds of the rents shared by firms with permanent workers, helping explain most of the labor costs and earnings reductions caused by the reform.",2023,"RES","Woman"
"7","Down the River: Glyphosate Use in Agriculture and Birth Outcomes of Surrounding Populations","This paper documents an externality from the agricultural use of the most widely applied herbicide in the world—glyphosate—on birth outcomes of surrounding populations. We focus on the subclinical effects of water contamination in areas distant from the original locations of application. Our identification relies on: (i) the regulation allowing the introduction of genetically modified seeds in Brazil; (ii) the potential gain in municipality-level productivity from adoption of genetically modified soybean seeds and the strong complementary between these seeds and glyphosate; and (iii) the direction of water flow within water basins. We document a significant deterioration in birth outcomes for populations downstream from locations that are likely to have increased relatively more the use of glyphosate. According to our preferred specification, the average increase in glyphosate use in the sample during 2000–10 period led to an increase of 5% of the average in infant mortality rate.",2023,"RES","No Woman"
"8","Regional Consumption Responses and the Aggregate Fiscal Multiplier","We use regional variation in the American Recovery and Reinvestment Act (2009–12) to analyse the effect of government spending on consumer spending. Our consumption data come from household-level retail purchases in the Nielsen scanner data and auto purchases from Equifax credit balances. We estimate that a $1 increase in county-level government spending increases local non-durable consumer spending by $0.29 and local auto spending by $0.09. We translate the regional consumption responses to an aggregate fiscal multiplier using a multi-region, new Keynesian model with heterogeneous agents, incomplete markets, and trade linkages. Our model is consistent with the estimated positive local multiplier, a result that distinguishes our incomplete markets model from models with complete markets. At the zero lower bound, the aggregate consumption multiplier is twice as large as the local multiplier because trade linkages propagate the effect of government spending across regions.",2023,"RES","Woman"
"9","Risk Classification in Insurance Markets with Risk and Preference Heterogeneity","This paper studies a competitive model of insurance markets in which consumers are privately informed about their risk and risk preferences. We provide a characterization of the equilibria, which depend non-trivially on consumers’ type distribution, a desirable feature for policy analysis. The use of consumer characteristics for risk classification is modeled as the disclosure of a public informative signal. A novel property of signals, monotonicity, is shown to be necessary and sufficient for their release to be welfare improving for almost all consumer types. We also study the effect of changes to the risk distribution in the population as the result of demographic changes or policy interventions. We show that an increase in the risk distribution, according to the monotone likelihood ratio ordering of distribution, leads to lower utility for almost all consumer types. In contrast, the effect is ambiguous when considering the first-order stochastic dominance ordering.",2023,"RES","No Woman"
"10","Social Positions and Fairness Views on Inequality","We link survey data on Danish people’s perceived income positions and fairness views on inequality within various reference groups to administrative records on their reference groups, income histories, and life events. People are, on average, well-informed about the income levels of their reference groups. Yet, lower-ranked respondents in all groups tend to overestimate their own position among others because they believe others’ incomes are lower than they actually are, whereas the opposite holds true for higher-ranked respondents. Misperceptions of positions in reference groups relate to proximity to other individuals, transparency norms, and visible signals of income. People view inequalities within their co-workers and education groups as significantly more unfair than overall inequality, yet underestimate inequality the most exactly within these groups. Views on the fairness of inequalities are strongly correlated with an individual’s current position, move with shocks like unemployment or promotions, and change when experimentally informing people about their actual positions. However, the higher perceived unfairness of income differences within co-workers and education groups stays unchanged. The theoretical framework shows that this can have important implications for redistribution policy.",2023,"RES","Woman"
"11","Central Bank Balance Sheet Policies Without Rational Expectations","We study the effects of central bank balance sheet policies—namely, quantitative easing and foreign exchange interventions—in a model where people form expectations through an iterative level-k thinking process. We emphasize two main theoretical results. First, under a broad set of conditions, central bank interventions are effective under level-k thinking, while they are neutral in the rational expectations equilibrium. Second, when preferences exhibit constant relative risk aversion, asset purchases increase aggregate output if they target assets with pro-cyclical returns but reduce it if asset returns are counter-cyclical. Finally, we empirically show that forecast errors about future asset prices are predictable by balance sheet interventions, a property that differentiates our channel from popular alternatives, such as portfolio-balance and signaling channels.",2023,"RES","No Woman"
"12","Credit Access, Selection, and Incentives in a Market for Asset-Collateralized Loans: Evidence From Kenya","We study the potential for asset collateralization to expand access to credit in rural Kenya. Increasing the share of a loan for a durable agricultural asset that is collateralized by the physical asset itself (from 0 to 96%) while reducing the share backed by financial assets increases loan take-up considerably, with only a very limited impact on repayment behavior and the lender's profitability. A Karlan–Zinman test finds evidence of small and marginally significant selection effects in some specifications but no evidence of moral hazard. We find no evidence that joint versus individual liability affects take-up or repayment. Loans had real impacts on investment, milk sales, and girls’ school enrollment. The lender, a savings and credit cooperative, responded to the study results by offering 80% asset-collateralized loans.",2023,"RES","No Woman"
"13","Left-Digit Bias at Lyft","Left-digit bias (or 99-cent pricing) has been discussed extensively in economics, psychology, and marketing. Despite this, we show that the rideshare company, Lyft, was not using a 99-cent pricing strategy prior to our study. Based on observational data from over 600 million Lyft sessions followed by a field experiment conducted with 21 million Lyft passengers, we provide evidence of large discontinuities in demand at dollar values. Approximately half of the downward slope of the demand curve occurs discontinuously as the price of a ride drops below a dollar value (e.g. $14.00 to $13.99). If our short-run estimates persist in the longer run, we calculate that Lyft could increase its profits by roughly $160M per year by employing a left-digit bias pricing strategy. Our results showcase the robustness of an important behavioral bias for a large, modern company and its persistence in a highly competitive market.",2023,"RES","No Woman"
"14","Hinterlands, City Formation and Growth: Evidence from the U.S. Westward Expansion","I study how geography shaped city formation and aggregate development in the U.S. prior to the Civil War. To guide my analysis, I present a conjecture that cities’ farm hinterlands fostered both city development and aggregate growth: the hinterland hypothesis. The hinterland hypothesis has rich implications on how various elements of U.S. geography—railroads, changes in U.S. political borders, and international trade—affected city formation and U.S. growth. To evaluate the hinterland hypothesis and its implications, I assemble a novel historical dataset on population, trading routes, and agricultural productivity at a high spatial resolution. I combine the data with a dynamic quantitative model of economic geography that yields the hinterland hypothesis as a prediction. I find evidence for the hinterland hypothesis by showing that the model can replicate the key patterns of U.S. urbanization and city formation. Finally, I conduct a series of counterfactuals in the model to quantify the effect of geography on cities and growth, guided by the implications of the hinterland hypothesis. Results indicate that railroads were responsible for 1.8% of urban population in 1860 and for 25% of real GDP growth between 1830 and 1860. The effect of international trade was similar in magnitude, while the effect of political border changes was small during the period.",2023,"RES","No Woman"
"15","Dynamic Asset-Backed Security Design","Borrowers obtain liquidity by issuing securities backed by the current period payoff and resale price of a long-lived collateral asset, and they are privately informed about the payoff distribution. Asset price can be self-fulfilling: a higher asset price lowers adverse selection and allows borrowers to raise greater funding, which makes the asset more valuable, leading to multiple equilibria. Optimal security design eliminates multiple equilibria, improves welfare, and can be implemented as a repo contract. Persistent adverse selection lowers debt funding, generates volatility in asset prices, and exacerbates credit crunches. The theory demonstrates the role of asset-backed securities on stability of market-based financial systems.",2023,"RES","Woman"
"16","Estimating Production Functions of Multiproduct Firms","Multiproduct firms constitute a considerable share of firms and account for an even greater share of production. Nevertheless, the vast majority of production function estimates are based on the assumption that firms are single-product manufacturers. This assumption is due to a lack of data on how firms allocate their inputs across their various product lines. I provide a strategy for estimating product-specific input allocations and production functions of multiproduct firms involved in monopolistic competition. The strategy is based on using firms’ product prices and output demand in solving for product-level input allocations.",2023,"RES","Woman"
"17","Price Discrimination in the Information Age: Prices, Poaching, and Privacy with Personalized Targeted Discounts","We study list price competition when firms can individually target consumer discounts (at a cost) afterwards, and we address recent privacy regulation (like the GDPR) allowing consumers to choose whether to opt-in to targeting. Targeted consumers receive poaching and retention discount offers. Equilibrium discount offers are in mixed strategies, but only two firms vie for each contested consumer and final profits on them are Bertrand-like. When targeting is unrestricted, firm list pricing resembles monopoly. For plausible demand conditions and if targeting costs are not too low, firms and consumers are worse off with unrestricted targeting than banning it. However, targeting induces higher (lower) list prices if demand is convex (concave), and either side of the market can benefit if list prices shift enough in its favour. Given the choice, consumers opt in only when expected discounts exceed privacy costs. Under empirically plausible conditions, opt-in choice makes all consumers better off.",2023,"RES","Woman"
"18","Save, Spend, or Give? A Model of Housing, Family Insurance, and Savings in Old Age","How do housing and family shape the savings, spending, and inter-generational transfer behaviour of the elderly? Using the Health and Retirement Study, we document that inter-generational transfers to children are substantially backloaded, that homeowners dis-save much more slowly than renters but often sell their houses when entering a nursing home, and that care by children slows down nursing home entry and is linked to larger bequests, particularly of housing. To rationalise these facts, we develop a dynamic, non-cooperative model of the family with an indivisible housing asset and joint bargaining between elderly parents and their children over the housing and care arrangements of the parents. The model generates realistic savings and care choices and matches the timing of transfers and home liquidations. A key novelty is the housing-as-commitment channel: In the absence of long-run family contracts, housing provides a commitment device for more efficient savings. We find that this channel increases homeownership in old age by one-third and families’ willingness to pay for houses by 5–10%. This mechanism also facilitates informal care, slows down spending, and leads to larger bequests, implications that we support empirically.",2023,"RES","No Woman"
"19","Hazed and Confused: The Effect of Air Pollution on Dementia","We study whether long-term cumulative exposure to airborne small particulate matter (PM2.5) affects the probability that an individual receives a new diagnosis of Alzheimer's disease or related dementias. We track the health, residential location, and PM2.5 exposures of Americans aged sixty-five and above from 2001 through 2013. The expansion of Clean Air Act regulations led to quasi-random variation in individuals’ subsequent exposures to PM2.5. We leverage these regulations to construct instrumental variables for individual-level decadal PM2.5 that we use within flexible probit models that also account for any potential sample selection based on survival. We find that a 1 µg/m3 increase in decadal PM2.5 increases the probability of a new dementia diagnosis by an average of 2.15 percentage points (pp). All else equal, we find larger effects for women, older people, and people with more clinical risk factors for dementia. These effects persist below current regulatory thresholds.",2023,"RES","Woman"
"20","“Since You’re So Rich, You Must Be Really Smart”: Talent, Rent Sharing, and the Finance Wage Premium","Financial sector wages have increased extraordinarily over the last decades. We address two potential explanations for this increase: (1) rising demand for talent and (2) firms sharing rents with their employees. Matching administrative data of Swedish workers, which include unique measures of individual talent, with financial information on their employers, we find no evidence that talent in finance improved, neither on average nor at the top. The increase in relative finance wages is present across talent and education levels, which together can explain at most 20% of it. In contrast, rising financial sector profits that are shared with employees account for up to half of the relative wage increase. The limited labour supply response may partly be explained by the importance of early-career entry and social connections in finance. Our findings alleviate concerns about “brain drain” into finance but suggest that finance workers have captured rising rents over time.",2023,"RES","No Woman"
"21","Robots, Trade, and Luddism: A Sufficient Statistic Approach to Optimal Technology Regulation","Technological change, from the advent of robots to expanded trade opportunities, creates winners and losers. How should government policy respond? We provide a general theory of optimal technology regulation in a second-best world, with rich heterogeneity across households, linear taxes on the subset of firms affected by technological change, and a non-linear tax on labour income. Our first set of results consists of optimal tax formulas, with minimal structural assumptions, involving sufficient statistics that can be implemented using evidence on the distributional impact of new technologies, such as robots and trade. Our final results are comparative static exercises illustrating, among other things, that while distributional concerns create a rationale for non-zero taxes on robots and trade, the magnitude of these taxes may decrease as the process of automation and globalization deepens and inequality increases.",2023,"RES","No Woman"
